category_id,category_name,description,group_id,created_at,updated_at
1,achats en ligne,Categorie achats en ligne,4,2025-10-15 19:35:07.504086+00:00,2025-10-15 19:35:07.504086+00:00
2,Autres,Categorie Autres,1,2025-10-15 19:35:07.531840+00:00,2025-10-15 19:35:07.531840+00:00
3,Loisirs,Categorie Loisirs,5,2025-10-15 19:35:07.569907+00:00,2025-10-15 19:35:07.569907+00:00
4,Virement sortants,Categorie Virement sortants,1,2025-10-15 19:35:07.595518+00:00,2025-10-15 19:35:07.595518+00:00
5,Salaire,Categorie Salaire,1,2025-10-15 19:35:07.631076+00:00,2025-10-15 19:35:07.631076+00:00
6,Alimentation,Categorie Alimentation,7,2025-10-15 19:35:07.663200+00:00,2025-10-15 19:35:07.663200+00:00
7,Abonnements,Categorie Abonnements,1,2025-10-15 19:35:07.689093+00:00,2025-10-15 19:35:07.689093+00:00
8,Sant̩/pharmacie,Categorie Sant̩/pharmacie,1,2025-10-15 19:35:07.713865+00:00,2025-10-15 19:35:07.713865+00:00
9,Virement entrants,Categorie Virement entrants,1,2025-10-15 19:35:07.755862+00:00,2025-10-15 19:35:07.755862+00:00
10,Remboursements,Categorie Remboursements,1,2025-10-15 19:35:07.787223+00:00,2025-10-15 19:35:07.787223+00:00
11,pr̻t,Categorie pr̻t,1,2025-10-15 19:35:07.816924+00:00,2025-10-15 19:35:07.816924+00:00
12,Transport,Categorie Transport,1,2025-10-15 19:35:07.847736+00:00,2025-10-15 19:35:07.847736+00:00
13,Imp̫ts,Categorie Imp̫ts,1,2025-10-15 19:35:07.880847+00:00,2025-10-15 19:35:07.880847+00:00
14,V̻tements,Categorie V̻tements,1,2025-10-15 19:35:07.910305+00:00,2025-10-15 19:35:07.910305+00:00
15,Autre paiement,Categorie Autre paiement,1,2025-10-15 19:35:07.942294+00:00,2025-10-15 19:35:07.942294+00:00
16,Restaurant,Categorie Restaurant,1,2025-10-15 19:35:07.965571+00:00,2025-10-15 19:35:07.965571+00:00
17,Retrait especes,Categorie Retrait especes,1,2025-10-15 19:35:07.996462+00:00,2025-10-15 19:35:07.996462+00:00
18,T̩l̩phones/internet,Categorie T̩l̩phones/internet,1,2025-10-15 19:35:08.037745+00:00,2025-10-15 19:35:08.037745+00:00
19,Ch̬ques ̩mis,Categorie Ch̬ques ̩mis,1,2025-10-15 19:35:08.067750+00:00,2025-10-15 19:35:08.067750+00:00
20,Frais bancaires,Categorie Frais bancaires,1,2025-10-15 19:35:08.098795+00:00,2025-10-15 19:35:08.098795+00:00
21,Entretien maison,Categorie Entretien maison,1,2025-10-15 19:35:08.129720+00:00,2025-10-15 19:35:08.129720+00:00
22,Assurances,Categorie Assurances,1,2025-10-15 19:35:08.160341+00:00,2025-10-15 19:35:08.160341+00:00
23,Pension alimentaire,Categorie Pension alimentaire,1,2025-10-15 19:35:08.190473+00:00,2025-10-15 19:35:08.190473+00:00
24,streaming,Categorie streaming,1,2025-10-15 19:35:08.213072+00:00,2025-10-15 19:35:08.213072+00:00
25,Frais scolarit̩,Categorie Frais scolarit̩,1,2025-10-15 19:35:08.249381+00:00,2025-10-15 19:35:08.249381+00:00
26,Paris sportif,Categorie Paris sportif,1,2025-10-15 19:35:08.280877+00:00,2025-10-15 19:35:08.280877+00:00
27,Loterie,Categorie Loterie,1,2025-10-15 19:35:08.312257+00:00,2025-10-15 19:35:08.312257+00:00
28,Garage,Categorie Garage,1,2025-10-15 19:35:08.346530+00:00,2025-10-15 19:35:08.346530+00:00
29,CAF,Categorie CAF,1,2025-10-15 19:35:08.372379+00:00,2025-10-15 19:35:08.372379+00:00
30,Carburant,Categorie Carburant,1,2025-10-15 19:35:08.398453+00:00,2025-10-15 19:35:08.398453+00:00
31,Aide,Categorie Aide,1,2025-10-15 19:35:08.439640+00:00,2025-10-15 19:35:08.439640+00:00
32,E̩lectricit̩/eau,Categorie E̩lectricit̩/eau,1,2025-10-15 19:35:08.464693+00:00,2025-10-15 19:35:08.464693+00:00
33,Services,Categorie Services,6,2025-10-15 19:35:08.495898+00:00,2025-10-15 19:35:08.495898+00:00
34,Jeux d'argent,Categorie Jeux d'argent,1,2025-10-15 19:35:08.531206+00:00,2025-10-15 19:35:08.531206+00:00
35,PAJE,Categorie PAJE,1,2025-10-15 19:35:08.561282+00:00,2025-10-15 19:35:08.561282+00:00
36,Garde d'enfants,Categorie Garde d'enfants,1,2025-10-15 19:35:08.593439+00:00,2025-10-15 19:35:08.593439+00:00
37,Amendes,Categorie Amendes,1,2025-10-15 19:35:08.625318+00:00,2025-10-15 19:35:08.625318+00:00
