group_id,group_name,description,created_at,updated_at
1,Autres,Groupe Autres,2025-10-15 19:35:07.014220+00:00,2025-10-15 19:35:07.014220+00:00
2,Logement,Groupe Logement,2025-10-15 19:35:07.080690+00:00,2025-10-15 19:35:07.080690+00:00
3,Transports,Groupe Transports,2025-10-15 19:35:07.139918+00:00,2025-10-15 19:35:07.139918+00:00
4,Achats,Groupe Achats,2025-10-15 19:35:07.199953+00:00,2025-10-15 19:35:07.199953+00:00
5,Loisirs,Groupe Loisirs,2025-10-15 19:35:07.262842+00:00,2025-10-15 19:35:07.262842+00:00
6,Services,Groupe Services,2025-10-15 19:35:07.317249+00:00,2025-10-15 19:35:07.317249+00:00
7,Alimentation,Groupe Alimentation,2025-10-15 19:35:07.382193+00:00,2025-10-15 19:35:07.382193+00:00
8,Sante,Groupe Sante,2025-10-15 19:35:07.445973+00:00,2025-10-15 19:35:07.445973+00:00
